TeamId;ES L1 LW;ES L1 C;ES L1 RW;ES L1 LD;ES L1 RD;ES L2 LW;ES L2 C;ES L2 RW;ES L2 LD;ES L2 RD;ES L3 LW;ES L3 C;ES L3 RW;ES L3 LD;ES L3 RD;ES L4 LW;ES L4 C;ES L4 RW;ES L4 LD;ES L4 RD;PP5on4 L1 LW;PP5on4 L1 C;PP5on4 L1 RW;PP5on4 L1 LD;PP5on4 L1 RD;PP5on4 L2 LW;PP5on4 L2 C;PP5on4 L2 RW;PP5on4 L2 LD;PP5on4 L2 RD;PP5on3 L1 LW;PP5on3 L1 C;PP5on3 L1 RW;PP5on3 L1 LD;PP5on3 L1 RD;PP5on3 L2 LW;PP5on3 L2 C;PP5on3 L2 RW;PP5on3 L2 LD;PP5on3 L2 RD;PP4on3 L1 F1;PP4on3 L1 F2;PP4on3 L1 LD;PP4on3 L1 RD;PP4on3 L2 F1;PP4on3 L2 F2;PP4on3 L2 LD;PP4on3 L2 RD;PK4on5 L1 F1;PK4on5 L1 F2;PK4on5 L1 LD;PK4on5 L1 RD;PK4on5 L2 F1;PK4on5 L2 F2;PK4on5 L2 LD;PK4on5 L2 LD;PK4on5 L3 F1;PK4on5 L3 F2;PK4on5 L3 LD;PK4on5 L3 LD;PK3on5 L1 F1;PK3on5 L1 LD;PK3on5 L1 RD;PK3on5 L2 F1;PK3on5 L2 LD;PK3on5 L2 LD;PK3on4 L1 F1;PK3on4 L1 LD;PK3on4 L1 RD;PK3on4 L2 F1;PK3on4 L2 LD;PK3on4 L2 LD;4on4 L1 F1;4on4 L1 F2;4on4 L1 LD;4on4 L1 RD;4on4 L2 F1;4on4 L2 F2;4on4 L2 LD;4on4 L2 LD;3on3 L1 F1;3on3 L1 LD;3on3 L1 RD;3on3 L2 F1;3on3 L2 LD;3on3 L2 LD;Shootout 1;Shootout 2;Shootout 3;Shootout 4;Shootout 5;Goalie 1;Goalie 2;Extra Attacker 1;Extra Attacker 2;
0;18099;699;15888;31454;170749;1302;19695;78805;37058;85003;168246;91655;85219;20084;86125;57427;84983;85244;;;1302;91655;19695;84983;31454;18099;699;78805;168246;85003;1302;91655;19695;84983;31454;18099;699;78805;168246;85003;1302;19695;91655;31454;78805;84983;18099;85003;85219;57427;85003;20084;15888;699;86125;37058;19695;85244;31454;170749;57427;85003;86125;85219;31454;37058;57427;85003;86125;85219;31454;20084;19695;57427;85003;37058;85219;699;31454;20084;19695;57427;85003;85219;699;31454;699;15888;1302;168246;31454;91178;46492;699;18099;;;;
3;16544;85378;18992;64023;54289;86924;85461;4924;85000;1063;170432;85998;77087;146239;170958;165406;85524;91427;;;16544;85378;18992;64023;54289;86924;85461;4924;85000;1063;16544;85378;18992;64023;54289;86924;85461;4924;85000;1063;4924;18992;85378;64023;165406;16544;85998;54289;85378;18992;64023;54289;85461;4924;85000;1063;;;;;86924;146239;54289;85998;85000;1063;86924;146239;54289;85998;85000;1063;85378;18992;64023;54289;85461;16544;85000;1063;85378;18992;64023;85461;16544;85000;77087;85378;18992;85998;4924;556;615;18992;77087;;;;
5;85789;364;11770;44163;165195;174886;91388;57335;91204;170655;182142;13304;91729;3093;169106;171696;31511;85099;;;85789;91388;91729;85099;44163;171696;31511;11770;364;91204;85789;91388;91729;85099;44163;171696;31511;11770;364;91204;85789;91729;91388;44163;31511;85099;171696;91204;57335;11770;3093;165195;174886;182142;44163;170655;13304;364;91204;169106;11770;3093;165195;57335;44163;170655;11770;3093;165195;57335;44163;170655;57335;11770;44163;165195;91729;364;91204;170655;57335;11770;44163;364;91729;91204;57335;85789;13304;91388;11770;36755;166751;85099;11770;;;;
8;5326;38057;36804;44353;65061;11983;78463;85972;44354;85257;1132;148513;533;18214;36656;57709;8453;8534;;;11983;38057;36804;8453;44353;57709;8534;533;5326;44354;11983;38057;36804;8453;44353;57709;8534;533;5326;44354;36804;38057;11983;44353;57709;8453;533;44354;5326;148513;44354;65061;1132;85972;18214;85257;8534;78463;44353;36656;5326;44354;65061;148513;18214;85257;5326;44354;65061;148513;18214;85257;5326;38057;44353;65061;36804;78463;44354;85257;5326;38057;44353;36804;78463;44354;57709;1132;38057;533;11983;13714;5311;78463;38057;;;;
9;86055;20;57824;44514;4814;91727;12893;36096;71777;176082;29538;38275;85818;170060;166487;169132;180599;175026;;;86055;180599;36096;169132;176082;29538;20;175026;4814;44514;86055;180599;36096;169132;176082;29538;20;175026;4814;44514;36096;86055;169132;176082;175026;180599;29538;4814;20;57824;44514;166487;12893;91727;71777;4814;85818;29538;170060;176082;20;44514;166487;57824;71777;4814;20;44514;166487;12893;71777;4814;20;86055;44514;4814;12893;57824;71777;176082;86055;20;4814;12893;57824;44514;29538;57824;20;86055;36096;163695;175092;86055;29538;;;;
10;167030;238;58391;75279;57195;952;79023;18980;675;31424;85115;164664;64889;175883;91183;970;16991;91743;;;952;238;18980;64889;75279;85115;164664;58391;675;57195;952;238;18980;64889;75279;85115;164664;58391;675;57195;238;18980;64889;75279;952;164664;85115;675;79023;58391;75279;175883;167030;16991;675;57195;970;91743;91183;31424;58391;75279;175883;79023;675;57195;58391;75279;175883;79023;675;57195;167030;58391;75279;57195;238;18980;675;31424;167030;58391;57195;238;18980;31424;167030;18980;64889;238;164664;152717;69536;167030;58391;;;;
11;56199;19218;79103;46510;78804;78567;32996;176088;36696;75138;174222;146323;74916;78604;59790;91733;91739;173242;;;78567;32996;79103;176088;46510;56199;146323;173242;59790;78604;78567;32996;79103;176088;46510;56199;146323;173242;59790;78604;32996;78567;79103;46510;173242;176088;146323;59790;19218;174222;78604;78804;56199;74916;36696;75138;91733;91739;46510;59790;19218;78604;78804;174222;36696;75138;19218;78604;78804;174222;36696;75138;19218;56199;46510;78804;32996;78567;36696;75138;19218;56199;46510;32996;78567;78604;56199;74916;32996;79103;91733;31972;841;78567;56199;;;;
12;20359;43756;14839;85408;66250;14785;91643;7991;82736;146314;62256;91214;148991;62325;5501;47163;78475;75852;;;14785;62256;7991;20359;66250;148991;43756;14839;91643;5501;14785;62256;7991;20359;66250;148991;43756;14839;91643;5501;7991;14785;62256;66250;14839;20359;43756;5501;91643;43756;82736;62325;91214;75852;85408;66250;14839;20359;146314;5501;43756;82736;62325;91643;85408;66250;43756;82736;62325;91643;85408;66250;91643;43756;82736;66250;14839;20359;85408;5501;91643;43756;66250;14839;20359;82736;20359;14785;14839;91643;75852;43757;85798;14839;43756;;;;
14;708;85790;129;35327;84952;59667;79102;143666;85139;72369;20246;79113;120;86584;57581;170473;147297;75271;;;59667;147297;120;35327;86584;708;85790;129;170473;84952;59667;147297;120;35327;86584;708;85790;129;170473;84952;147297;59667;120;35327;708;85790;170473;86584;143666;85790;35327;84952;129;79102;85139;72369;20246;708;86584;57581;85790;35327;84952;143666;85139;72369;85790;35327;84952;143666;85139;72369;708;85790;35327;84952;129;59667;85139;72369;708;85790;35327;129;59667;84952;170473;129;120;147297;35327;59540;168712;85790;708;;;;
15;85896;78488;31087;146381;85723;15909;86095;33862;75198;28252;1268;77093;85906;91745;85680;19422;22345;19408;;;85896;78488;31087;15909;85723;33862;86095;;146381;28252;85896;78488;85906;15909;85723;33862;86095;;146381;28252;78488;31087;15909;85723;86095;85896;146381;28252;78488;33862;146381;75198;77093;85896;91745;85680;15909;1268;85723;28252;78488;146381;75198;77093;91745;85680;78488;146381;75198;77093;91745;85680;78488;31087;146381;85723;86095;85896;75198;28252;78488;31087;146381;86095;85896;75198;31087;15909;86095;85896;78488;85727;57859;78488;85896;;;;
