TeamId;ES L1 LW;ES L1 C;ES L1 RW;ES L1 LD;ES L1 RD;ES L2 LW;ES L2 C;ES L2 RW;ES L2 LD;ES L2 RD;ES L3 LW;ES L3 C;ES L3 RW;ES L3 LD;ES L3 RD;ES L4 LW;ES L4 C;ES L4 RW;ES L4 LD;ES L4 RD;PP5on4 L1 LW;PP5on4 L1 C;PP5on4 L1 RW;PP5on4 L1 LD;PP5on4 L1 RD;PP5on4 L2 LW;PP5on4 L2 C;PP5on4 L2 RW;PP5on4 L2 LD;PP5on4 L2 RD;PP5on3 L1 LW;PP5on3 L1 C;PP5on3 L1 RW;PP5on3 L1 LD;PP5on3 L1 RD;PP5on3 L2 LW;PP5on3 L2 C;PP5on3 L2 RW;PP5on3 L2 LD;PP5on3 L2 RD;PP4on3 L1 F1;PP4on3 L1 F2;PP4on3 L1 LD;PP4on3 L1 RD;PP4on3 L2 F1;PP4on3 L2 F2;PP4on3 L2 LD;PP4on3 L2 RD;PK4on5 L1 F1;PK4on5 L1 F2;PK4on5 L1 LD;PK4on5 L1 RD;PK4on5 L2 F1;PK4on5 L2 F2;PK4on5 L2 LD;PK4on5 L2 LD;PK4on5 L3 F1;PK4on5 L3 F2;PK4on5 L3 LD;PK4on5 L3 LD;PK3on5 L1 F1;PK3on5 L1 LD;PK3on5 L1 RD;PK3on5 L2 F1;PK3on5 L2 LD;PK3on5 L2 LD;PK3on4 L1 F1;PK3on4 L1 LD;PK3on4 L1 RD;PK3on4 L2 F1;PK3on4 L2 LD;PK3on4 L2 LD;4on4 L1 F1;4on4 L1 F2;4on4 L1 LD;4on4 L1 RD;4on4 L2 F1;4on4 L2 F2;4on4 L2 LD;4on4 L2 LD;3on3 L1 F1;3on3 L1 LD;3on3 L1 RD;3on3 L2 F1;3on3 L2 LD;3on3 L2 LD;Shootout 1;Shootout 2;Shootout 3;Shootout 4;Shootout 5;Goalie 1;Goalie 2;Extra Attacker 1;Extra Attacker 2;
0;1302;699;19695;31454;170749;952;18099;91655;20084;85003;78805;15888;58391;85244;86125;85219;84983;57886;;;1302;699;19695;85003;31454;952;91655;18099;170749;20084;1302;699;19695;85003;31454;952;91655;18099;170749;20084;1302;19695;91655;31454;78805;84983;18099;85003;58391;84983;85003;85244;699;85219;170749;86125;91655;78805;31454;20084;;85003;86125;85219;31454;;;85003;86125;85219;31454;20084;19695;;85003;;85219;699;31454;20084;19695;;85003;85219;699;31454;699;15888;1302;;31454;91178;46492;699;18099;;;;
3;16544;85378;18992;64023;54289;86924;85461;4924;85000;1063;170432;85998;77087;146239;170958;165406;85524;91427;;;16544;85378;18992;64023;54289;86924;85461;4924;85000;1063;16544;85378;18992;64023;54289;86924;85461;4924;85000;1063;4924;18992;85378;64023;165406;16544;85998;54289;85378;18992;64023;54289;85461;4924;85000;1063;;;;;86924;146239;54289;85998;85000;1063;86924;146239;54289;85998;85000;1063;85378;18992;64023;54289;85461;16544;85000;1063;85378;18992;64023;85461;16544;85000;77087;85378;18992;85998;4924;556;615;18992;77087;;;;
5;85789;13304;85099;44163;165195;182142;31511;11770;91204;170655;164925;171396;57335;3093;169106;169021;171696;91729;;;85789;31511;85099;91729;44163;164925;171696;11770;13304;169106;85789;31511;85099;91729;44163;164925;171696;11770;13304;169106;91729;85099;85789;44163;171696;31511;164925;169106;57335;11770;3093;165195;182142;169021;44163;170655;171396;13304;91204;169106;11770;3093;165195;57335;44163;170655;11770;3093;165195;57335;44163;170655;11770;85099;44163;165195;91729;57335;91204;170655;85099;11770;44163;91729;57335;165195;57335;13304;91729;85789;85099;36755;166751;85099;11770;;;;
8;5326;38057;36804;44353;65061;11983;78463;85972;44354;85257;1132;148513;533;18214;36656;57709;8453;8534;;;11983;38057;36804;8453;44353;57709;78463;533;8534;44354;11983;38057;36804;8453;44353;57709;78463;533;8534;44354;36804;38057;11983;44353;533;8453;57709;44354;5326;148513;44354;65061;78463;1132;18214;85257;8534;85972;44353;36656;5326;44354;65061;148513;18214;85257;5326;44354;65061;148513;18214;85257;78463;38057;44353;65061;5326;36804;44354;85257;78463;38057;44353;5326;36804;44354;11983;8534;57709;5326;44353;13714;5311;78463;38057;;;;
9;86055;12893;85818;44514;4814;29538;91730;57824;71777;166487;148519;84979;175026;170060;176082;91727;180599;169132;;;86055;180599;175026;169132;176082;29538;91730;85818;4814;44514;86055;180599;175026;169132;176082;29538;91730;85818;4814;44514;169132;86055;180599;176082;29538;175026;148519;4814;85818;91727;44514;166487;57824;12893;71777;4814;29538;148519;170060;176082;85818;44514;166487;91727;71777;4814;85818;44514;166487;91727;71777;4814;29538;86055;44514;4814;85818;148519;71777;176082;29538;86055;4814;85818;148519;44514;57824;91727;148519;86055;29538;163695;175092;86055;29538;;;;
10;167030;79023;18980;75279;57195;57427;238;64889;37058;31424;168246;164664;91743;675;63939;970;16991;91183;;;57427;238;18980;64889;75279;168246;164664;91743;37058;675;57427;238;18980;64889;75279;168246;164664;91743;37058;675;64889;18980;238;75279;57427;164664;168246;37058;167030;79023;75279;63939;16991;970;37058;57195;91183;91743;675;31424;79023;75279;63939;167030;37058;57195;79023;75279;63939;167030;37058;57195;79023;167030;37058;57195;64889;18980;75279;31424;79023;167030;57195;64889;18980;31424;168246;16991;37058;18980;64889;152717;69536;167030;79023;;;;
11;56199;19218;79103;46510;75138;78567;146323;173242;36696;59790;85115;91739;176088;78604;149513;174222;91733;29677;;;78567;146323;79103;85115;46510;29677;19218;173242;176088;59790;78567;146323;79103;85115;46510;29677;19218;173242;176088;59790;85115;78567;79103;46510;146323;173242;176088;59790;19218;174222;78604;75138;56199;29677;36696;149513;91733;91739;46510;59790;19218;36696;75138;174222;78604;149513;19218;78604;75138;174222;36696;149513;78567;56199;46510;75138;85115;19218;36696;59790;78567;56199;46510;85115;19218;78604;29677;91733;78567;85115;79103;31972;841;78567;56199;;;;
12;20359;43756;14839;85408;66250;14785;91643;7991;82736;146314;62256;91214;148991;62325;5501;47163;78475;75852;;;14785;62256;7991;20359;66250;148991;43756;14839;91643;5501;14785;62256;7991;20359;66250;148991;43756;14839;91643;5501;7991;14785;62256;66250;14839;20359;43756;5501;91643;43756;82736;62325;91214;75852;85408;66250;14839;20359;146314;5501;43756;82736;62325;91643;85408;66250;43756;82736;62325;91643;85408;66250;91643;43756;82736;66250;14839;20359;85408;5501;91643;43756;66250;14839;20359;82736;20359;14785;14839;91643;75852;43757;85798;14839;43756;;;;
14;708;85790;129;35327;84952;59667;79102;143666;86584;72369;20246;79113;120;57581;85139;170473;147297;75271;;;59667;147297;120;35327;86584;708;85790;129;170473;84952;59667;147297;120;35327;86584;708;85790;129;170473;84952;147297;59667;120;35327;708;85790;129;86584;129;85790;35327;84952;79102;143666;85139;72369;20246;708;86584;57581;85790;35327;72369;129;85139;84952;85790;35327;84952;129;85139;72369;708;85790;35327;72369;129;59667;86584;84952;708;85790;35327;59667;129;86584;59667;147297;143666;120;79102;59540;168712;85790;75271;;;;
15;85896;78488;31087;146381;85723;33862;86095;180934;75198;28252;85906;77093;57589;91745;85680;1268;22345;19408;;;85896;78488;31087;;85723;33862;86095;;146381;28252;85896;78488;85906;;85723;33862;86095;;146381;28252;78488;31087;;85723;86095;85896;146381;28252;78488;33862;146381;75198;77093;85896;91745;85680;;1268;85723;28252;78488;146381;75198;77093;91745;85680;78488;146381;75198;77093;91745;85680;78488;31087;146381;85723;86095;85896;75198;28252;78488;31087;146381;86095;85896;75198;31087;;86095;85896;78488;85727;57859;78488;85896;;;;
